Time;Temp;RH;CO2
2022-05-27T10:00:00Z;23.332;45.75275;527.4435
2022-05-27T11:00:00Z;23.61375;43.0285;502.74125
2022-05-27T12:00:00Z;24.227;41.352;539.125
2022-05-27T13:00:00Z;24.85275;40.10275;517.13725
2022-05-27T14:00:00Z;25.41925;38.76175;537.31725
2022-05-27T15:00:00Z;25.81375;37.2225;546.57525
2022-05-27T16:00:00Z;26.06775;36.12225;523.49975
2022-05-27T17:00:00Z;26.1705;35.893;515.53275
2022-05-27T18:00:00Z;26.12525;35.33625;497.17025
2022-05-27T19:00:00Z;26.005;36.63875;515.2045
2022-05-27T20:00:00Z;25.567;36.8085;492.954
2022-05-27T21:00:00Z;25.118;36.88975;487.275
2022-05-27T22:00:00Z;24.66525;37.09875;479.9585
2022-05-27T23:00:00Z;24.153;37.356;475.25775
2022-05-28T00:00:00Z;23.72725;37.48425;475.849
2022-05-28T01:00:00Z;23.3105;37.485;467.94025
2022-05-28T02:00:00Z;22.9755;37.73375;469.192
2022-05-28T03:00:00Z;22.69375;37.9475;471.89475
2022-05-28T04:00:00Z;22.379;38.079;474.03425
2022-05-28T05:00:00Z;22.12025;38.23025;474.55975
2022-05-28T06:00:00Z;22.03725;38.52975;467.14125
2022-05-28T07:00:00Z;22.1835;38.90925;468.3085
2022-05-28T08:00:00Z;22.45725;39.11025;467.477
2022-05-28T09:00:00Z;22.91175;39.314;463.5185
2022-05-28T10:00:00Z;23.3665;39.1375;463.52725
2022-05-28T11:00:00Z;23.69575;38.92825;454.9005
2022-05-28T12:00:00Z;23.92025;38.70075;446.154
2022-05-28T13:00:00Z;24.199;38.4645;450.18575
2022-05-28T14:00:00Z;24.8345;38.07;444.6515
2022-05-28T15:00:00Z;25.36525;37.433;452.8535
2022-05-28T16:00:00Z;25.61975;36.9645;447.42975
2022-05-28T17:00:00Z;25.838;36.70975;453.12325
2022-05-28T18:00:00Z;25.84175;36.483;446.99575
2022-05-28T19:00:00Z;25.64175;36.17425;442.82825
2022-05-28T20:00:00Z;25.3555;36.076;436.7765
2022-05-28T21:00:00Z;24.98525;36.201;439.4125
2022-05-28T22:00:00Z;24.652;36.465;430.847
2022-05-28T23:00:00Z;24.414;36.59425;433.4565
2022-05-29T00:00:00Z;24.01875;36.67075;435.57825
2022-05-29T01:00:00Z;23.76575;36.5045;438.48125
2022-05-29T02:00:00Z;23.39625;36.3025;430.798
2022-05-29T03:00:00Z;23.13775;36.488;435.189
2022-05-29T04:00:00Z;22.9255;36.71425;440.84275
2022-05-29T05:00:00Z;22.799;36.90175;438.655
2022-05-29T06:00:00Z;22.70175;37.16125;442.9515
2022-05-29T07:00:00Z;22.761;37.331;441.35475
2022-05-29T08:00:00Z;22.85125;37.31625;448.305
2022-05-29T09:00:00Z;23.21975;37.332;445.68875
2022-05-29T10:00:00Z;23.57975;37.023;426.098
2022-05-29T11:00:00Z;24.03075;36.52775;428.9025
2022-05-29T12:00:00Z;24.3645;36.0395;426.849
2022-05-29T13:00:00Z;24.47675;35.7375;425.09275
2022-05-29T14:00:00Z;24.45625;35.6315;415.1535
2022-05-29T15:00:00Z;24.4595;35.4865;410.82775
2022-05-29T16:00:00Z;24.65375;35.48125;410.186
2022-05-29T17:00:00Z;24.914;35.174;413.12325
2022-05-29T18:00:00Z;24.92125;34.7295;408.7305
2022-05-29T19:00:00Z;24.802;34.45425;415.509
2022-05-29T20:00:00Z;24.50275;34.47775;415.35625
2022-05-29T21:00:00Z;24.21375;34.65;417.3945
2022-05-29T22:00:00Z;23.836;34.8695;422.94825
2022-05-29T23:00:00Z;23.54975;34.95;422.437
2022-05-30T00:00:00Z;23.2405;35.09175;425.995
2022-05-30T01:00:00Z;22.98575;35.3405;427.57275
2022-05-30T02:00:00Z;22.824;35.53625;420.31725
2022-05-30T03:00:00Z;22.58;35.7185;426.18475
2022-05-30T04:00:00Z;22.464;35.8915;433.27025
2022-05-30T05:00:00Z;22.3025;36.23625;440.91425
2022-05-30T06:00:00Z;22.2225;36.50425;440.36075
2022-05-30T07:00:00Z;22.239;37.0235;443.433
